iter	Logloss
221	0.3242086346
222	0.3233177742
223	0.3224807053
224	0.3217400112
225	0.321276654
226	0.3204180471
227	0.3192859178
228	0.3184430412
229	0.3177715687
230	0.3167348712
231	0.3157182758
232	0.3150418957
233	0.3141698944
234	0.3131736798
235	0.3120968851
236	0.3113408464
237	0.3106492075
238	0.3101995232
239	0.3097287939
240	0.3088133523
241	0.3082698651
242	0.307431296
243	0.3066083287
244	0.3055522576
245	0.305200041
246	0.3043649223
247	0.3035261604
248	0.3028152337
249	0.3020117042
250	0.3011125715
251	0.300314914
252	0.2996999333
253	0.2988110446
254	0.2977835194
255	0.2970702139
256	0.2963983557
257	0.2955163034
258	0.2948276005
259	0.2940952001
260	0.2929442759
261	0.2922586162
262	0.291623362
263	0.29126043
264	0.2907460245
265	0.2901469456
266	0.2895435805
267	0.2887967356
268	0.2882145228
269	0.2875673315
270	0.2871147327
271	0.2863031023
272	0.2849103949
273	0.2842830701
274	0.2837227382
275	0.2827652063
276	0.2819511756
277	0.2812535147
278	0.2803639187
279	0.2797704332
280	0.2790802088
281	0.2782744075
282	0.2779159546
283	0.2773342347
284	0.2767512504
285	0.2762324301
286	0.2757075878
287	0.275173873
288	0.2745067296
289	0.2741244455
290	0.2736771401
291	0.2732964419
292	0.272677818
293	0.2721915727
294	0.2717645624
295	0.2711739487
296	0.2705955934
297	0.2699461948
298	0.2687920988
299	0.2682561124
300	0.2676674918
301	0.266926969
302	0.2664279295
303	0.2659402483
304	0.2652592605
305	0.2647182165
306	0.2644648606
307	0.2639916666
308	0.2633895017
309	0.2628686026
310	0.2624498432
311	0.2619119923
312	0.2613513389
313	0.2610324902
314	0.2605971218
315	0.2601638537
316	0.2597286353
317	0.2594280243
318	0.2590033713
319	0.2587578163
320	0.2582565908
321	0.2576420388
322	0.2572257224
323	0.2565672371
324	0.2562705908
325	0.2559753589
326	0.2554632465
327	0.2549528058
328	0.2544957707
329	0.2541683926
330	0.2537275593
331	0.2533886084
332	0.252723951
333	0.252338088
334	0.2516155886
335	0.2512417054
336	0.2510041012
337	0.2505238351
338	0.2498005856
339	0.2492086432
340	0.2487255054
341	0.2483089747
342	0.2478012342
343	0.2474339517
344	0.2466038479
345	0.246379938
346	0.2460730478
347	0.2452962211
348	0.2447674569
349	0.2441182512
350	0.2437022777
351	0.2434045599
352	0.2430739028
353	0.2425709199
354	0.2422357409
355	0.2418845745
356	0.2414519921
357	0.2410481914
358	0.2405782335
359	0.2400620707
360	0.239642904
361	0.2392728784
362	0.2385134108
363	0.2380066132
364	0.2377001302
365	0.2373562716
366	0.2369026441
367	0.2364126698
368	0.2358757833
369	0.2354616744
370	0.2349510621
371	0.2345673636
372	0.2340746247
373	0.2336288624
374	0.2331449959
375	0.232913328
376	0.2324650368
377	0.2321978794
378	0.2315360294
379	0.2310153233
380	0.230709676
381	0.2302389681
382	0.2297715391
383	0.2294689779
384	0.2291345489
385	0.2287572796
386	0.2283387773
387	0.2279410202
388	0.2274683192
389	0.2271101877
390	0.2267802378
391	0.2265468555
392	0.2258280636
393	0.2255442544
394	0.2247785933
395	0.22433776
396	0.2240291553
397	0.2236626657
398	0.2233807853
399	0.2230959689
400	0.2227878356
401	0.2226206747
402	0.2219792055
403	0.2216033507
404	0.2212314606
405	0.2209292208
406	0.2207094685
407	0.2202698354
408	0.2196909444
409	0.219391212
410	0.2190100638
411	0.218621479
412	0.2184165355
413	0.2180602899
414	0.2177238464
415	0.2171958323
416	0.2170034044
417	0.2166735188
418	0.2164348002
419	0.2161016143
420	0.2158949348
421	0.2156786972
422	0.2153651205
423	0.2151105002
424	0.2149756357
425	0.2145178291
426	0.2142252547
427	0.214013689
428	0.2138350412
429	0.2134491567
430	0.2131437666
431	0.2129975222
432	0.2125876566
433	0.212224596
434	0.2115373933
435	0.2112223807
436	0.2110416541
437	0.2107719036
438	0.2104464542
439	0.2101748177
440	0.2099432785
441	0.2097617803
442	0.2094465534
443	0.2093279335
444	0.2092059489
445	0.2087721235
446	0.2085024159
447	0.208082392
448	0.2076213279
449	0.2073818593
450	0.2072106694
451	0.206916209
452	0.2066398792
453	0.2063180302
454	0.2059954525
455	0.2056803114
456	0.2054046245
457	0.2051764499
458	0.2048195828
459	0.2041976586
460	0.2040302834
461	0.2037139635
462	0.2034055517
463	0.2032096949
464	0.2030554568
465	0.202804994
466	0.202551981
467	0.2022523344
468	0.2019024967
469	0.201601307
470	0.2012650565
471	0.2011185121
472	0.2008499831
473	0.2004732496
474	0.2001226404
475	0.1997389847
476	0.1994918652
477	0.1990943866
478	0.1989563288
479	0.1986514531
480	0.1983965327
481	0.1978291715
482	0.1976280855
483	0.1973198451
484	0.1969033359
485	0.1965730003
486	0.1963040641
487	0.1960029173
488	0.1958018528
489	0.195448629
490	0.1951654841
491	0.1947898008
492	0.1945221504
493	0.1943290153
494	0.1939789847
495	0.1938084806
496	0.193616717
497	0.1934154382
498	0.1930459698
499	0.1928592425
500	0.1926059937
501	0.1923992714
502	0.1922513983
503	0.1917752255
504	0.1914877945
505	0.1909898479
506	0.1907700957
507	0.1905701026
508	0.1902559902
509	0.1899699522
510	0.1897170892
511	0.189418407
512	0.1891134455
513	0.1887412768
514	0.1885804594
515	0.1883826095
516	0.1881270677
517	0.1877350968
518	0.1875627925
519	0.1871108152
520	0.1869195231
521	0.18666591
522	0.1864059748
523	0.186287955
524	0.1860440286
525	0.1858093176
526	0.1853873006
527	0.1849365234
528	0.1847053485
529	0.184440077
530	0.1842032658
531	0.1839559962
532	0.1837192064
533	0.18356709
534	0.1831526167
535	0.1830294105
536	0.1828710577
537	0.1825191198
538	0.1822912666
539	0.1820153011
540	0.1818369319
